	Day	Date	Time	Place	Title	Rating	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
1019					Revenge of the creature		40761.0	en	1955-07-22	0.0		82.0	['Horror', 'Science Fiction']	Jack Arnold	
1020					Mrs Henderson Presents		10773.0	en	2005-09-09	0.0	0.0	103.0	['Comedy', 'Drama']	Stephen Frears	
1021					Black Christmas		16938.0	en	1974-10-11	0.0	0.0	98.0	['Horror', 'Mystery', 'Thriller']	Bob Clark	
1022					The Twelve Chairs		24918.0	en	1970-10-28	0.0	0.0	94.0	['Comedy']	Mel Brooks	
1023					Josie & The Pussycats		19366.0	en	nan	22000000.0		98.0	['Comedy', 'Music']	Deborah Kaplan	
1024					Killer's Kiss		10056.0	en	1955-09-21	75000.0	0.0	67.0	['Crime', 'Drama', 'Thriller']	Stanley Kubrick	
1025					Barry Lyndon		3175.0	en	nan	11000000.0	20000000.0	184.0	['Drama', 'Romance', 'War']	Stanley Kubrick	
1026					The Killing		247.0	en	1956-05-08	320000.0	0.0	85.0	['Drama', 'Action', 'Thriller', 'Crime']	Stanley Kubrick	
1027					Dr Strangelove		935.0	en	1964-01-29	1800000.0	9440272.0	95.0	['Drama', 'Comedy', 'War']	Stanley Kubrick	
1028					The Nutty Professor		9327.0	en	1996-06-26	54000000.0	128769345.0	95.0	['Fantasy', 'Comedy', 'Romance', 'Science Fiction']	Tom Shadyac	
1029					Deep Blue		11019.0	en	2003-05-18	0.0	0.0	83.0	['Documentary']	Andy Byatt	
1030					Summerfield		40898.0	en	1977-09-30	0.0	0.0	95.0	['Drama', 'Mystery']	Ken Hannam	
1031					Eyes Wide Shut		345.0	en	1999-07-14	65000000.0	162091208.0	159.0	['Mystery', 'Drama']	Stanley Kubrick	
1032					Lolita		802.0	en	1962-06-13	2000000.0	9250000.0	153.0	['Drama', 'Romance']	Stanley Kubrick	
1033					The Parent Trap		9820.0	en	1998-07-28	0.0	0.0	127.0	['Comedy', 'Drama', 'Family']	Nancy Meyers	
1034					Rare Kubrick Shorts Unclassified			nan	nan					nan	
1035					Spartacus		967.0	en	1960-10-06			197.0	['Action', 'Drama', 'History']	Stanley Kubrick	
1036					The Shining		694.0	en	1980-05-22	19000000.0		144.0	['Horror', 'Thriller']	Stanley Kubrick	
1037					Howl's Moving Castle		4935.0	ja	2004-11-19	24000000.0	234710455.0	119.0	['Fantasy', 'Animation', 'Adventure']	Hayao Miyazaki	
1038					Stanley Kubrick:A Life in Pictures			nan	nan					nan	
1039					2001: A Space Odyssey		62.0	en	1968-04-10	10500000.0	68700000.0	149.0	['Science Fiction', 'Mystery', 'Adventure']	Stanley Kubrick	
1040					Paths of Glory PG			nan	nan					nan	
1041					Killer's Kiss PG			nan	nan					nan	
1042					The Killing PG			nan	nan					nan	
1043					Full Metal Jacket		600.0	en	1987-06-26	17000000.0	46357676.0	116.0	['Drama', 'War']	Stanley Kubrick	
1044					Sweet Sweetback's Badasssss Song			nan	nan					nan	
1045					Undead		8991.0	en	2003-09-04		0.0	97.0	['Horror', 'Action', 'Comedy', 'Science Fiction']	Peter Spierig	
1046					Freaky Friday		10330.0	en	2003-08-03	26000000.0	110230332.0	97.0	['Comedy']	Mark Waters	
1047					Rare Kubrick Shorts			nan	nan					nan	
1048					Artificial Intelligence:AI			nan	nan					nan	
1049					Stanley Kubrick:A Life in Pictures 			nan	nan					nan	
1050					Barry Lyndon G			nan	nan					nan	
1051					The Shining M		18875.0	en	1980-10-04	0.0	0.0	35.0	['Documentary']	Vivian Kubrick	
1052					Lolita M		332040.0	en	1919-01-02	0.0	0.0	0.0	[]	nan	
1053					Eyes Wide Shut 		345.0	en	1999-07-14	65000000.0		159.0	['Mystery', 'Drama']	Stanley Kubrick	
1054					The Hudsucker Proxy		11934.0	en	1994-03-11	30000000.0	0.0	111.0	['Comedy', 'Drama']	Joel Coen	
1055					Look Both Ways		16151.0	en	nan	0.0	0.0	100.0	['Drama', 'Romance']	Sarah Watt	
1056					Children of the Revolution		9977.0	nan	1996-06-14	0.0	0.0	101.0	['Comedy', 'Drama']	Peter Duncan	
1057					Dr Strangelove PG			nan	nan					nan	
1058					2001: A Space Odyssey G			nan	nan					nan	
1059					Artificial Intelligence:AI 			nan	nan					nan	
1060					Confessions of a Teenage Drama Queen		11132.0	en	2004-02-17	15000000.0	29331068.0	89.0	['Comedy']	Sara Sugarman	
1061					Rare Kubrick Shorts Unclassified 			nan	nan					nan	
1062					A Clockwork Orange 			en	1971-12-18		26589000.0			nan	
1063					Spartacus PG			nan	nan					nan	
1064					Full Metal Jacket 		600.0	en	1987-06-26	17000000.0	46357676.0	116.0	['Drama', 'War']	Stanley Kubrick	
1065					Lenny		27094.0	nan	1974-11-10	0.0	0.0	111.0	['Drama']	Bob Fosse	
1066					Jedda + Night Cries: A Rural Tragedy			nan	nan					nan	
1067					Herbie: Fully Loaded		11451.0	en	2005-06-22	50000000.0	66002004.0	101.0	['Comedy', 'Family', 'Adventure', 'Fantasy', 'Romance']	Angela Robinson	
1068					I Love You Alice B. Toklas		42623.0	en	1968-10-06	0.0	0.0	92.0	['Comedy', 'Romance']	Hy Averback	
1069					Beethoven's Hair		365523.0	en	2005-02-20	0.0	0.0	90.0	['Documentary']	Larry Weinstein	
1070					Cisco Pike		55044.0	en	1972-01-14	0.0	0.0	95.0	['Drama']	Bill L. Norton	
1071					The Phantom Stockman		353126.0	en	1953-06-19	0.0	0.0	67.0	['Western']	Lee Robinson	
1072					Nausicaa of the Valley of the Wind		81.0	ja	1984-03-11	1000000.0	3301446.0	117.0	['Adventure', 'Animation', 'Fantasy']	Hayao Miyazaki	
1073					Colour Me Blood Red			nan	nan					nan	
1074					Yesterday		450050.0	fr	2017-12-31	0.0	0.0	1.0	['Drama']	Bálint Kenyeres	
1075					Roadgames M			nan	nan					nan	
1076					Yolngu Boy		18017.0	en	2001-03-22	0.0	671.0	88.0	['Drama']	nan	
1077					Near Dark		11879.0	en	1987-10-02	5000000.0		95.0	['Drama', 'Horror', 'Thriller']	Kathryn Bigelow	
1078					The Last of the Knucklemen M			nan	nan					nan	
1079					Ae Fond Kiss		1404.0	en	2004-02-13	0.0	0.0	104.0	['Drama']	Ken Loach	
1080					Wallace & Grommit in the Curse of the Were Rabbit		61445.0	en	1997-08-24	0.0	0.0	178.0	['History', 'Drama']	John Frankenheimer	
1081					Young Adam		237.0	en	nan	6400000.0	2500000.0	93.0	['Drama', 'Thriller', 'Crime', 'Romance']	David Mackenzie	
1082					The Shipping News		6440.0	en	2001-12-18	0.0	0.0	111.0	['Drama', 'Romance']	Lasse Hallström	
1083					Pride and Prejudice			en	1940-07-26	0.0	0.0			nan	
1084					Monsieur Ibrahim		337.0	fr	2003-12-03	0.0	11576431.0	94.0	['Drama']	François Dupeyron	
1085					Stage Beauty		26108.0	en	2004-09-03	0.0	776691.0	106.0	['Comedy', 'Drama', 'Romance']	Richard Eyre	
1086					Kung Fu Hustle		9470.0	cn	2004-02-10	20000000.0	100914445.0	99.0	['Action', 'Comedy', 'Crime', 'Fantasy']	Stephen Chow	
1087					Brides		24223.0	el	2004-01-01	0.0	0.0	128.0	['Drama', 'Foreign', 'Romance']	Pantelis Voulgaris	
1088					Rosenstrasse		6317.0	de	2003-09-18	0.0	0.0	136.0	['Drama', 'History']	Margarethe von Trotta	
1089					Mad Hot Ballroom		14358.0	en	2005-05-13	0.0	0.0	105.0	['Documentary', 'Family']	Marilyn Agrelo	
1090					The Oyster Farmer			nan	nan					nan	
1091					The Immoral Mr Teas		5648.0	en	1959-01-01	0.0	0.0	63.0	['Comedy']	Russ Meyer	
1092					Vixen!		5721.0	en	1968-10-15	76000.0	6000000.0	70.0	['Comedy', 'Drama', 'Romance']	Russ Meyer	
1093					The Adventures of Priscilla, Queen of the Desert		2759.0	en	1994-05-31	0.0	0.0	104.0	['Drama', 'Comedy']	Stephan Elliott	
1094					National Treasure		2059.0	nan	2004-11-19	100000000.0	347451894.0	131.0	['Adventure', 'Action', 'Thriller', 'Mystery']	Jon Turteltaub	
1095					Faster Pussycat! Kill! Kill!		315.0	nan	1965-08-06	45000.0	0.0	83.0	['Action', 'Crime']	Russ Meyer	
1096					Mudhoney		5719.0	en	1965-05-25	60000.0	0.0	92.0	['Drama']	Russ Meyer	
1097					Mondovino		48121.0	en	2004-01-01	0.0	0.0	135.0	['Documentary']	Jonathan Nossiter	
1098					The Spag + Clay M			nan	nan					nan	
1099					Tarzan		37135.0	en	1999-06-18		448000000.0	88.0	['Adventure', 'Animation', 'Drama', 'Family']	Kevin Lima	
1100					Beyond the Valley of the Dolls		5722.0	en	1970-07-17	2090000.0	40000000.0	109.0	['Comedy', 'Drama', 'Thriller']	Russ Meyer	
1101					Supervixens		5725.0	en	1975-04-02	0.0	0.0	106.0	['Comedy']	Russ Meyer	
1102					Backroads + Castor & Pollux			nan	nan					nan	
1103					Lady & The Tramp		10340.0	en	1955-06-16	0.0	93600000.0	76.0	['Family', 'Animation']	Hamilton Luske	
1104					Up!		14160.0	en	2009-05-13	175000000.0	735099082.0	96.0	['Animation', 'Comedy', 'Family', 'Adventure']	Pete Docter	
1105					Beneath the Valley of the Ultra-Vixens		5157.0	en	1979-05-11	239000.0	0.0	93.0	['Comedy']	Russ Meyer	
1106					The Heart of Me		24985.0	en	2002-01-01	7000000.0	0.0	96.0	['Drama', 'Romance']	Thaddeus O'Sullivan	
1107					Proof		9777.0	en	2005-09-05	20000000.0	7535331.0	100.0	['Drama', 'Mystery']	John Madden	
1108					A Little Princess		19101.0	en	1995-05-10	17000000.0	0.0	97.0	['Drama', 'Family', 'Fantasy']	Alfonso Cuarón	
1109					Videodrome + Camera			nan	nan					nan	
1110					The Brood		28942.0	en	1979-05-25	1355000.0		92.0	['Horror', 'Science Fiction', 'Thriller']	David Cronenberg	
1111					Scanners		9538.0	en	1981-01-14	4100000.0		103.0	['Horror', 'Science Fiction', 'Thriller']	David Cronenberg	
1112					Shivers + Blue			nan	nan					nan	
1113					A History of Violence		59.0	en	2005-09-23		60740827.0	96.0	['Drama', 'Thriller', 'Crime']	David Cronenberg	
1114					M. Butterfly		1413.0	en	nan	0.0	1499795.0	101.0	['Drama', 'Romance']	David Cronenberg	
1115					Fast Company		38493.0	en	1979-05-18	1200000.0	0.0	91.0	['Drama']	David Cronenberg	
1116					Two for the road		5767.0	en	1967-04-27	0.0	0.0	111.0	['Comedy', 'Drama', 'Romance']	Stanley Donen	
1117					Razorback		26178.0	en	1984-04-19	5500000.0	801000.0	95.0	['Horror']	Russell Mulcahy	
1118					Dead Ringers		9540.0	en	nan	13000000.0	8038508.0	115.0	['Drama', 'Horror', 'Thriller']	David Cronenberg	
1119					eXistenZ		1946.0	nan	1999-04-14	15000000.0	2856712.0	97.0	['Action', 'Thriller', 'Science Fiction', 'Horror']	David Cronenberg	
1120					Naked Lunch		2742.0	nan	1991-12-27	16000000.0	0.0	115.0	['Crime', 'Drama']	David Cronenberg	
1121					Millions		13373.0	en	2005-04-08	0.0	6584159.0	98.0	['Comedy', 'Crime', 'Drama']	Danny Boyle	
1122					Spider		9613.0	en	2002-12-13	0.0	0.0	98.0	['Drama', 'Mystery', 'Thriller']	David Cronenberg	
1123					Crash		1640.0	en	2004-01-13	6500000.0	98410061.0	112.0	['Drama']	Paul Haggis	
1124					The Fly		9426.0	en	1986-08-15	15000000.0	60629159.0	96.0	['Horror', 'Science Fiction']	David Cronenberg	
1125					I Have to Make the World Be Flesh			nan	nan					nan	
1126					Stereo		256311.0	de	2014-05-15	0.0	0.0	95.0	['Thriller']	Maximilian Erlenwein	
1127					Crimes of the Future		27371.0	en	1970-08-01		0.0	70.0	['Comedy', 'Science Fiction']	David Cronenberg	
1128					Rabid		29437.0	en	1977-04-08	530000.0	0.0	91.0	['Horror']	David Cronenberg	
1129					The Dead Zone		11336.0	en	1983-10-21	10000000.0	20766616.0	103.0	['Horror', 'Science Fiction', 'Thriller']	David Cronenberg	
1130					Vera Drake		11109.0	en	2004-10-22	11000000.0	0.0	125.0	['Crime', 'Drama']	Mike Leigh	
1131					A town like Alice		88558.0	en	1956-03-01	0.0	0.0		['Drama', 'Romance']	Jack Lee	
1132					Cronenberg Public Forum			nan	nan					nan	
1133					End of the century: The story of the Ramones		16301.0	en	2003-01-19	0.0		110.0	['Documentary']	Jim Fields	
1134					Moulin Rouge		10910.0	en	1952-12-23	1500000.0	0.0	119.0	['Drama', 'Music']	John Huston	
1135					The Jungle Book		278927.0	nan	2016-04-07	175000000.0	966550600.0	106.0	['Family', 'Adventure', 'Drama', 'Fantasy']	Jon Favreau	
1136					The Boston Strangler		26690.0	en	1968-10-08	0.0	0.0	116.0	['Crime', 'Drama', 'Mystery', 'Thriller']	Richard Fleischer	
1137					A Common Thread		26810.0	fr	2004-05-14	0.0	0.0	89.0	['Drama']	Éléonore Faucher	
1138					Monkey grip		78087.0	en	1982-06-17	0.0	0.0	99.0	['Drama']	Ken Cameron	
1139					Little Women		9587.0	en	1994-12-21	18000000.0	0.0	115.0	['Drama', 'Romance']	Gillian Armstrong	
1140					Barfly			en	1987-09-02		3221568.0	100.0		nan	
1141					Smithy		318930.0	en	1946-06-26	0.0	0.0	119.0	['History']	Ken G. Hall	
1142					Honey, I Shrunk the Kids		9354.0	en	1989-06-22		222724172.0	93.0	['Adventure', 'Comedy', 'Family', 'Science Fiction']	Joe Johnston	
1143					Dion Beebe in Conversation			nan	nan					nan	
1144					Memory & Desire		36960.0	en	2006-11-01	0.0	0.0	98.0	['Thriller', 'Science Fiction', 'Mystery']	Bennett Davlin	
1145					Dion Beebe In Conversation			nan	nan					nan	
1146					Praise + Down Rusty Down			nan	nan					nan	
1147					Performance		26606.0	en	1970-08-03	0.0	0.0	101.0	['Crime', 'Drama', 'Music']	Donald Cammell	
1148					Look at Me		362805.0	sh	2008-01-01	0.0	0.0	100.0	['Drama']	Marija Perović	
1149					All That Jazz		16858.0	en	1979-12-20	0.0	37823676.0	123.0	['Drama', 'Music']	Bob Fosse	
1150					The last wave		72277.0	en	1977-01-01	810000.0	1258000.0	106.0	['Drama', 'Mystery', 'Thriller']	nan	
1151					Il Conformista		8416.0	it	1970-10-21	750000.0	0.0	107.0	['Drama']	Bernardo Bertolucci	
1152					Cries and Whispers		10238.0	sv	nan	0.0	0.0	91.0	['Drama']	Ingmar Bergman	
1153					Nanny McPhee		11283.0	nan	2005-10-21	25000000.0	122489822.0	97.0	['Fantasy', 'Comedy', 'Family']	Kirk Jones	
1154					Charlotte Gray		12660.0	en	nan	0.0	741394.0	121.0	['Drama', 'History', 'Romance', 'War']	Gillian Armstrong	
1155					Don't Look Now		931.0	en	1973-12-03	1500000.0	0.0	110.0	['Thriller', 'Drama', 'Horror']	Nicolas Roeg	
1156					Collateral + Groping			nan	nan					nan	
1157					Holy Smoke		344300.0	en	1921-02-27	0.0	0.0	0.0	[]	Jack White	
1158					Eternity + The Space Between the Door...			nan	nan					nan	
1159					What I Have Written + La Jetee			nan	nan					nan	
1160					Floating Life		197411.0	en	1996-09-16	0.0		96.0	[]	Clara Law	
1161					Crush		183662.0	en	2013-03-13	0.0	0.0	94.0	['Thriller']	Malik Bader	
1162					The Beast from 20,000 fathoms		35073.0	en	1953-06-13	210000.0	5000000.0	80.0	['Adventure', 'Horror', 'Science Fiction']	Eugène Lourié	
1163					Kangaroo		280956.0	ta	2015-04-24	0.0	0.0	0.0	[]	nan	
1164					Memoirs of a Geisha		1904.0	en	2005-12-06	85000000.0	162242962.0	145.0	['Drama', 'History', 'Romance']	Rob Marshall	
1165					Around the World in 80 Days		10204.0	en	2004-06-16	110000000.0	72178895.0	120.0	['Action', 'Adventure', 'Comedy']	Frank Coraci	
1166					Klute		466.0	en	nan	2500000.0	0.0	114.0	['Mystery']	nan	
1167					In The Cut		10944.0	en	2003-09-09	12000000.0	23.0	119.0	['Mystery', 'Thriller']	Jane Campion	
1168					Paris, Texas		655.0	en	1984-05-19	1746964.0	2181987.0	147.0	['Drama']	Wim Wenders	
1169					The Exorcist: 25th Anniversary Edition			nan	nan					nan	
1170					The Constant Gardner			nan	nan					nan	
1171					Picnic at Hanging Rock - 		11020.0	en	1975-09-02		0.0	115.0	['Thriller', 'Drama', 'Mystery']	Peter Weir	
1172					Monsters Inc		585.0	en	2001-11-01	115000000.0	562816256.0	92.0	['Animation', 'Comedy', 'Family']	Pete Docter	
1173					Withnail & I		13446.0	en	1987-01-01	0.0	0.0	107.0	['Comedy', 'Drama']	Bruce Robinson	
1174					The Loves of Carmen		43455.0	en	1948-08-23	0.0	0.0	99.0	['Drama', 'Romance']	Charles Vidor	
1175					Pavee Lackeen		31450.0	en	2005-07-07	0.0	0.0	87.0	['Drama', 'Foreign']	Perry Ogden	
1176					Angelo My Love		127129.0	en	1983-04-27	0.0	0.0	115.0	['Drama']	Robert Duvall	
1177					Night of the Demons		24924.0	en	1988-10-14	1200000.0		90.0	['Horror']	Kevin Tenney	
1178					I Met Some Happy Gypsies Too			nan	nan					nan	
1179					Black Cat White Cat		1075.0	sr	1998-06-01	0.0	0.0	127.0	['Comedy', 'Romance']	Emir Kusturica	
1180					Gypsy and the Gentleman		169726.0	en	1958-01-15	0.0	0.0	103.0	[]	Joseph Losey	
1181					Gypsies Are Found Near Heaven		50186.0	en	1976-04-04	0.0	0.0	101.0	['Romance', 'Drama']	Emil Loteanu	
1182					Ceija Stojka - Portrait of a Romni			nan	nan					nan	
1183					The Green Grass Beneath			nan	nan					nan	
1184					Vierka		414093.0	cs	2005-01-01	0.0	0.0	76.0	[]	Miroslav Janek	
1185					Gadjo Dilo		5071.0	fr	1997-08-10	0.0	0.0	102.0	['Drama', 'Music', 'Romance']	Tony Gatlif	
1186					Latcho Drom		47105.0	nan	1993-06-06		0.0	103.0	['Music', 'Documentary']	Tony Gatlif	
1187					The Devils		31767.0	en	nan	0.0	0.0	111.0	['Drama', 'History']	Ken Russell	
1188					Walk the Line		69.0	en	2005-09-13	28000000.0	186438883.0	136.0	['Drama', 'Music', 'Romance']	James Mangold	
1189					Flirting		21828.0	en	1991-03-20	0.0	2415396.0		['Drama', 'Romance']	John Duigan	
1190					Into the West		33221.0	en	1992-10-23	0.0	0.0	97.0	['Adventure', 'Drama', 'Family', 'Fantasy']	Mike Newell	
1191					Hot Blood		450785.0	en	1989-10-01	0.0	0.0	92.0	['Crime']	Philippe Blot	
1192					Bugsy Malone		8446.0	en	1976-06-26	0.0	0.0	93.0	['Drama', 'Action', 'Comedy', 'Music', 'Family']	Alan Parker	
1193					Fritz the Cat		12593.0	en	1972-04-12	850000.0	0.0	78.0	['Animation', 'Comedy', 'Drama']	Ralph Bakshi	
1194					Kiss or Kill		37517.0	en	1997-04-23	0.0	0.0	96.0	['Crime', 'Drama']	Bill Bennett	
1195					Carrie		133805.0	en	2013-10-16	30000000.0	82394288.0	100.0	['Drama', 'Horror']	Kimberly Peirce	
1196					The Miracle of Bern		1611.0	de	2003-10-15	0.0	0.0	118.0	['Drama', 'Comedy']	Sönke Wortmann	
1197					Bush Christmas		258559.0	en	1983-12-12	0.0	0.0	91.0	[]	Henri Safran	
1198					Pinocchio		10895.0	en	1940-02-23	2600000.0	84300000.0	88.0	['Animation', 'Family']	nan	
1199					Rosemary's Baby		805.0	en	nan	3200000.0	33395426.0	136.0	['Horror', 'Drama', 'Mystery']	Roman Polanski	
1200					Dogs in Space		30994.0	en	1986-12-18	0.0	0.0	103.0	['Music', 'Drama']	Richard Lowenstein	
1201					Whisper of the Heart (dubbed English)			nan	nan					nan	
1202					Whisper of the Heart (subtitles English)			nan	nan					nan	
1203					The Sentinel		5820.0	en	2006-04-19		77920346.0	108.0	['Action', 'Thriller', 'Crime']	Clark Johnson	
1204					In Search of Mozart		41617.0	en	2006-01-04	0.0		129.0	['Documentary', 'Music']	Phil Grabsky	
1205					The Sound of One Hand Clapping		206159.0	en	1998-04-22	0.0	0.0	93.0	[]	Richard Flanagan	
1206					Lassie		29918.0	en	1994-07-22	0.0	0.0	94.0	['Action', 'Adventure', 'Drama', 'Family']	Daniel Petrie	
1207					Victim		43028.0	en	1961-08-01		0.0	90.0		Basil Dearden	
1208					Angel Heart		635.0	nan	1987-03-06		17185632.0	113.0	['Horror', 'Mystery', 'Thriller']	Alan Parker	
1209					On The Beach		30944.0	en	2000-05-28	0.0	0.0	195.0	['Drama', 'Science Fiction']	Russell Mulcahy	
1210					The Proposition		16608.0	en	2005-10-06	2000000.0	5048693.0	104.0	['Action', 'Adventure', 'Crime', 'Drama', 'Thriller', 'Western']	John Hillcoat	
1211					Bambi		3170.0	en	1942-08-14	858000.0	267447150.0	70.0	['Animation', 'Drama', 'Family']	Norman Wright	
1212					Capote		398.0	en	2005-09-30	7000000.0	49084830.0	114.0	['Crime', 'Drama']	Bennett Miller	
1213					Muppet Treasure Island		10874.0	en	1996-02-16	0.0	34327391.0	100.0	['Action', 'Comedy', 'Music', 'Family', 'Adventure']	Brian Henson	
1214					Freaks		136.0	en	1932-02-20	0.0	0.0	64.0	['Drama', 'Horror']	Tod Browning	
1215					The Killing of Angel Street		213251.0	en	1981-10-01	0.0	0.0	96.0	['Horror', 'Mystery', 'Drama']	Donald Crombie	
1216					Lepel		21751.0	nl	2005-02-02	0.0	1589109.0	96.0	['Family', 'Drama']	Willem van de Sande Bakhuyzen	
1217					Luck, Trust & Ketchup		171961.0	en	1993-03-26	0.0	0.0	90.0	['Documentary']	Mike Kaplan	
1218					Raymond Carver Choice Cuts			nan	nan					nan	
1219					Good Night, and Good Luck		3291.0	en	2005-09-16	7000000.0	54600000.0	93.0	['Drama', 'History']	George Clooney	
1220					Head On		13817.0	en	1998-08-13	0.0	378667.0	104.0	['Drama']	Ana Kokkinos	
1221					McCabe & Mrs Miller		29005.0	en	1971-06-24	0.0	0.0	120.0	['Western']	Robert Altman	
1222					The Long Goodbye		1847.0	en	1973-03-07	0.0	0.0	113.0	['Thriller', 'Crime', 'Drama', 'Mystery']	Robert Altman	
1223					Fool For Love		138969.0	vi	2010-01-17	0.0	0.0	100.0	['Romance', 'Comedy']	Charlie Nguyễn	
1224					Spirit Bear: The Simon Jackson Story			en	2005-10-28	0.0	0.0			nan	
1225					Images		29449.0	en	1972-05-01	0.0	0.0	101.0	['Drama', 'Fantasy', 'Horror']	Robert Altman	
1226					M*A*S*H		651.0	en	1970-01-24	3500000.0	81600000.0	116.0	['Comedy', 'Drama', 'War']	Robert Altman	
1227					The Player		10403.0	en	1992-04-03	8000000.0	21706101.0	124.0	['Comedy', 'Drama']	Robert Altman	
1228					Popeye		11335.0	en	1980-12-12	20000000.0	0.0	114.0	['Action', 'Adventure', 'Comedy', 'Family', 'Music']	Robert Altman	
1229					Thieves Like Us + Altman in Conversation			nan	nan					nan	
1230					Thieves Like Us		31656.0	en	1974-02-11	0.0	0.0	123.0	['Drama', 'Romance', 'Crime']	Robert Altman	
1231					Night of the Living Dead		10331.0	en	1968-10-01	114000.0	30000000.0	96.0	['Horror']	George A. Romero	
1232					Bliss		23112.0	tr	2007-03-16	0.0	0.0	105.0	['Drama']	Abdullah Oguz	
1233					Feathers + Everything Goes 			nan	nan					nan	
1234					Winter Soldier		34921.0	en	1972-01-27	0.0	0.0	96.0	['War', 'Documentary']	Michaël Weill	
1235					El Topo		13041.0	es	1970-12-18	400000.0	0.0	125.0	['Action', 'Adventure', 'Drama', 'Western']	Alejandro Jodorowsky	
1236					Keeping Mum		9687.0	en	2005-12-02	169000.0	18564702.0	103.0	['Comedy']	Niall Johnson	
1237					National Velvet		17641.0	en	1944-12-14	0.0	0.0	123.0	['Drama', 'Family']	Clarence Brown	
1238					The Man Who Knew Too Much		574.0	en	1956-06-01	2500000.0	10250000.0	120.0	['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']	Alfred Hitchcock	
1239					Jamaica Inn		31995.0	en	1939-05-11	0.0	0.0	108.0	['Adventure', 'Crime']	Alfred Hitchcock	
1240					Secret Agent		2761.0	en	1936-06-12	0.0	0.0	86.0	['Thriller']	Alfred Hitchcock	
1241					Sabotage		144336.0	en	2014-03-28	35000000.0	17508518.0	110.0	['Action', 'Drama', 'Thriller', 'Crime']	David Ayer	
1242					Eraserhead		985.0	en	1977-03-19	10000.0	7000000.0	89.0	['Drama', 'Fantasy', 'Horror', 'Science Fiction']	David Lynch	
1243					Looking for Alibrandi		25069.0	en	2000-05-04	0.0	0.0	103.0	['Drama']	Kate Woods	
1244					Lecture Event			nan	nan					nan	
1245					Young and Innocent		2762.0	en	1937-11-01	0.0	0.0	83.0	['Drama', 'Crime']	Alfred Hitchcock	
1246					The 39 Steps		260.0	en	1935-06-01	0.0	0.0	86.0	['Action', 'Thriller', 'Mystery']	Alfred Hitchcock	
1247					The Lady Vanishes		940.0	en	1938-07-26	0.0	0.0	96.0	['Mystery', 'Thriller']	Alfred Hitchcock	
1248					Pocahontas		10530.0	en	1995-06-14	55000000.0	346079773.0	81.0	['Adventure', 'Animation', 'Drama', 'Family']	Eric Goldberg	
1249					Blackmail		543.0	en	1929-06-30	0.0	0.0	84.0	['Drama', 'Thriller', 'Crime']	Alfred Hitchcock	
1250					The Lodger		15052.0	en	2009-01-14			96.0	['Horror', 'Mystery', 'Thriller']	David Ondaatje	
1251					Downhill		52782.0	en	1927-10-24	0.0	0.0	110.0	['Drama']	Alfred Hitchcock	
1252					Animated Kids' Classics			nan	nan					nan	
1253					Oliver Twist		257.0	en	2005-09-23		42093706.0	130.0	['Crime', 'Drama', 'Family']	Roman Polanski	
1254					The Harder They Come		7514.0	en	1972-09-01	0.0	0.0	103.0	['Music', 'Drama', 'Crime']	Perry Henzell	
1255					Paradise Now		67.0	en	2005-02-14	0.0	3357075.0	90.0	['Thriller', 'Crime', 'Drama']	Hany Abu-Assad	
1256					Newsfront		88285.0	en	1978-07-29	0.0	0.0	110.0	['Drama', 'Foreign']	Phillip Noyce	
1257					My Neightbour Totoro			nan	nan					nan	
1258					Day Night Day Night		13979.0	en	2006-05-25	0.0	0.0	94.0	['Drama', 'Thriller']	Julia Loktev	
1259					The Rocky Horror Picture Show		36685.0	en	1975-08-14		112892319.0	100.0	['Comedy', 'Horror', 'Music', 'Science Fiction']	Jim Sharman	
1260					Crocodile Dundee		9671.0	en	1986-09-26	5000000.0	328203506.0	97.0	['Adventure', 'Comedy']	Peter Faiman	
1261					Home on the range		13700.0	en	2004-04-02	110000000.0	103951461.0	76.0	['Animation', 'Family']	John Sanford	
1262					The Queen of Sheba's Pearls		112718.0	sv	2004-12-25	0.0	0.0	0.0	['Drama', 'Foreign']	Colin Nutley	
1263					Seducing Doctor Lewis (A Grand Seduction)			nan	nan					nan	
1264					The Da Vinci Code		591.0	en	2006-05-17	125000000.0	767820459.0	149.0	['Thriller', 'Mystery']	Ron Howard	
1265					Casanova		9681.0	en	2005-12-25	0.0	37691644.0	112.0	['Comedy']	Lasse Hallström	
1266					On A Clear Day		38344.0	en	2005-08-18	0.0	0.0	98.0	['Drama']	Gaby Dellal	
1267					Brokeback Mountain		142.0	en	2005-09-02	14000000.0	178043761.0	134.0	['Drama', 'Romance']	Ang Lee	
1268					The World's Fastest Indian		9912.0	en	2005-10-12	25000000.0	0.0	127.0	['Drama']	Roger Donaldson	
1269					The Door In The Floor		1944.0	en	nan	0.0	0.0	111.0	['Drama']	Tod Williams	
1270					Fateless (Sorstalansag)			nan	nan					nan	
1271					Ballets Russes		138178.0	en	2005-10-26	0.0	0.0	118.0	['Documentary']	Dan Geller	
1272					Go For Zucker (Alles Ouf Zucker)			nan	nan					nan	
1273					Live and Become (Va, Vis et Deviens)		1986.0	fr	nan	0.0	0.0	140.0	['Drama']	Radu Mihaileanu	
1274					Pine Flat		122341.0	en	2006-01-01	0.0	0.0	138.0	[]	Sharon Lockhart	
